LSL,Harp
1211440.52231635,5105.450496
1211441.48946395,5106.418496
1211442.33638185,5107.26448
1211442.98429375,5107.91248
1211443.98034435,5108.90848
1211444.65329835,5109.581504
1211445.47722805,5110.405504
1211445.79321255,5110.721504
1211446.38236745,5111.311488
1211447.29342485,5112.222496
1211447.70011265,5112.62848
1211448.10533055,5113.033504
1211448.51328055,5113.441504
1211448.89641545,5113.825504
1211449.66816655,5114.59648
1211450.39623485,5115.325504
1211450.82437365,5115.753504
1211450.96016405,5115.88848
1211451.22715885,5116.15648
1211451.46741235,5116.39648
1211451.71728755,5116.645504
1211451.74612905,5116.675488
1211452.46015125,5117.389504
1211452.72817785,5117.657504
1211453.04025905,5117.96848
1211453.45114235,5118.379488
1211453.57008955,5118.498496
1211453.96107245,5118.889504
1211454.88529215,5119.813504
1211455.85518185,5120.78448
1211456.82317735,5121.75248
1211457.69599495,5122.62448
1211458.13217675,5123.061504
1211458.39618045,5123.325504
1211459.08692905,5124.015488
1211459.45001745,5124.378496
1211459.88496835,5124.813504
1211460.01312555,5124.942496
1211460.07498155,5125.003488
1211460.44590715,5125.374496
1211461.07493465,5126.003488
1211461.88692235,5126.815488
1211462.26389275,5127.19248
1211463.18799785,5128.11648
1211463.97489375,5128.903488
1211464.39780525,5129.326496
1211464.88501505,5129.813504
1211465.86805025,5130.797504
1211466.15088825,5131.079488
1211466.82396745,5131.75248
1211467.28788635,5132.217504
1211468.16687125,5133.095488
1211469.08679445,5134.015488
1211469.21178145,5134.14048
1211469.22471455,5134.153504
1211469.82672915,5134.755488
1211470.08785055,5135.01648
1211470.68987695,5135.618496
1211471.02384755,5135.95248
1211471.63280615,5136.561504
1211472.20481155,5137.133504
1211472.63869535,5137.567488
1211473.03073165,5137.959488
1211473.65181845,5138.58048
1211474.58571745,5139.514496
1211475.13265215,5140.061504
1211476.11779925,5141.046496
1211476.26461765,5141.193504
1211476.96559895,5141.894496
1211477.38163615,5142.310496
1211477.67860875,5142.607488
1211477.99064985,5142.919488
1211478.07661805,5143.005504
1211478.97857605,5143.907488
1211479.60168165,5144.530496
1211480.05864225,5144.987488
1211480.71257205,5145.642496
1211481.50556135,5146.435488
1211481.99060405,5146.92048
1211482.88259355,5147.811488
1211483.82150835,5148.750496
1211483.96251915,5148.891488
1211484.07348125,5149.002496
1211484.32451875,5149.253504
1211484.83744135,5149.766496
1211484.94852075,5149.877504
1211485.91449525,5150.843488
1211486.22948935,5151.158496
1211486.48152735,5151.410496
1211486.56959535,5151.499488
1211486.67955975,5151.60848
1211487.52939785,5152.458496
1211488.32148845,5153.250496
1211488.78848425,5153.717504
1211489.60441135,5154.533504
1211489.79041085,5154.72048
1211490.21042315,5155.139488
1211490.97232355,5155.901504
1211491.96230405,5156.891488
1211492.21433015,5157.143488
